Status,Date,Description,Debit,Credit
Cleared,09/17/2025,"CHICK-FIL-A #00830 TAYLORS SC null XXXXXXXXXXXX1205",3.88,
Cleared,09/16/2025,"QT 1105 GREENVILLE SC",9.94,
Cleared,09/15/2025,"ALDI 76041 TAYLORS SC",10.46,
Cleared,09/15/2025,"QT 1104 GREENVILLE SC",26.78,
Cleared,09/14/2025,"McDonalds 32623 TAYLORS NC null XXXXXXXXXXXX9622",4.32,
Cleared,09/14/2025,"PAR*SMOOTHIE KING SK16 GREER SC",15.97,
Cleared,09/14/2025,"SQ *NORTH HILLS CHURCH Taylors SC",3.00,
Cleared,09/14/2025,"WAL-MART #1244 TAYLORS SC",24.00,
Cleared,09/14/2025,"AMAZON MKTPL*SI0QE1C93 Amzn.com/bill WA null XXXXXXXXXXXX7396",78.82,
Cleared,09/14/2025,"QT 1104 GREENVILLE SC",4.18,
Cleared,09/14/2025,"ARBYS ECOM 6936 GREER SC null XXXXXXXXXXXX1205",12.83,
Cleared,09/13/2025,"SQ *BLUEBERRYFROG GREE Greenville SC",4.64,
Cleared,09/13/2025,"TST*TROPICAL GRILLE DO Greenville SC null XXXXXXXXXXXX1205",22.88,
Cleared,09/13/2025,"THE HOME DEPOT #1126 GREER SC null XXXXXXXXXXXX1205",46.58,
Cleared,09/13/2025,"THE HOME DEPOT #1104 GREENVILLE SC",47.70,
Cleared,09/12/2025,"WENDYS #0051 GREENVILLE SC",8.64,
Cleared,09/11/2025,"PIZZA HUT 039562 GREENVILLE SC",16.20,
Cleared,09/10/2025,"PAR*SMOOTHIE KING SK16 GREER SC",5.39,
Cleared,09/10/2025,"PAR*SMOOTHIE KING SK16 GREER SC",18.51,
Cleared,09/10/2025,"TARGET.COM BROOKLYN PARK MN",37.09,
Cleared,09/10/2025,"CHICK-FIL-A #00830 TAYLORS SC null XXXXXXXXXXXX1205",1.30,
Cleared,09/10/2025,"CHICK-FIL-A #00830 TAYLORS SC null XXXXXXXXXXXX1205",4.74,
Cleared,09/09/2025,"STANLEY STEEMER 773-269-8342 SC",458.00,
Cleared,09/09/2025,"JACK IN THE BOX 6413 GREENVILLE SC",9.93,
Cleared,09/08/2025,"ARBYS ECOM 6936 GREER SC null XXXXXXXXXXXX1205",7.43,
Cleared,09/07/2025,"McDonalds 7510 GREENVILLE SC null XXXXXXXXXXXX9622",6.79,
Cleared,09/07/2025,"SQ *NORTH HILLS CHURCH Taylors SC",6.00,
Cleared,09/07/2025,"WTSDA REG7 3362230056 NC",67.00,
Cleared,09/07/2025,"ALDI 76041 TAYLORS SC",130.46,
Cleared,09/07/2025,"MURPHY7059ATWALMART TAYLORS SC null XXXXXXXXXXXX1205",39.34,
Cleared,09/07/2025,"QT 1104 GREENVILLE SC",39.90,
Cleared,09/06/2025,"MCDONALD'S F1667 GREENVILLE SC",6.89,
Cleared,09/06/2025,"PAR*SMOOTHIE KING SK16 GREER SC",23.08,
Cleared,09/06/2025,"QT 1104 GREENVILLE SC",6.59,
Cleared,09/05/2025,"WM SUPERCENTER #1244 TAYLORS SC",17.31,
Cleared,09/05/2025,"SQ *S&A DISCOUNT GROCE GREER SC",8.49,
Cleared,09/05/2025,"COMPASSION INTERNATION COLORADO SPRI CO",43.00,
Cleared,09/05/2025,"WALMART.COM WALMART.COM AR",77.90,
Cleared,09/05/2025,"LITTLE CAESARS 0101 00 TAYLORS SC",10.78,
Cleared,09/04/2025,"ONLINE PAYMENT, THANK YOU",,-901.55
Cleared,09/04/2025,"CHICK-FIL-A #00713 GREENVILLE SC null XXXXXXXXXXXX1205",13.08,
Cleared,09/03/2025,"McDonalds 7510 GREENVILLE SC null XXXXXXXXXXXX9622",4.69,
Cleared,09/03/2025,"MCDONALD'S F10063 GREENVILLE SC",16.37,
Cleared,09/03/2025,"ALDI 76041 TAYLORS SC",41.46,
Cleared,09/02/2025,"ONLINE PAYMENT, THANK YOU",,-3362.25
Cleared,09/02/2025,"NORTHHILLSCHURCH.COM TAYLORS SC",500.00,
Cleared,09/02/2025,"JACK IN THE BOX 6404 GREENVILLE SC",11.65,
